"","geo","time","values"
"2933","EU27_2019",2000-10-01,1862175
"2934","EU28",2000-10-01,2276357.4
"2935","FI",2000-10-01,32083
"2936","FR",2000-10-01,343581
"2937","HR",2000-10-01,4942.3
"2938","HU",2000-10-01,11929.4
"2939","IE",2000-10-01,25422.7
"2940","IT",2000-10-01,304131.9
"2941","LT",2000-10-01,3109.6
"2942","LU",2000-10-01,5399.9
"2943","LV",2000-10-01,2138.3
"2944","MK",2000-10-01,909.3
"2945","MT",2000-10-01,1019.9
"2946","NL",2000-10-01,105936
"2947","NO",2000-10-01,44622
"2948","PL",2000-10-01,48681.5
"2949","PT",2000-10-01,29622.8
"2950","RO",2000-10-01,10594.3
"2951","SE",2000-10-01,64543.8
"2952","SI",2000-10-01,4962.6
"2953","SK",2000-10-01,5115.3
"2954","TR",2000-10-01,74140.2
"2955","UK",2000-10-01,414262.4
"2956","AT",2000-07-01,48088.2
"2957","BE",2000-07-01,56159
"2958","BG",2000-07-01,3565.1
"2959","CH",2000-07-01,71312.6
"2960","CY",2000-07-01,2495.8
"2961","CZ",2000-07-01,15708
"2962","DE",2000-07-01,484390
"2963","DK",2000-07-01,37802.9
"2964","EA",2000-07-01,1513654.2
"2965","EA12",2000-07-01,1547166.1
"2966","EA19",2000-07-01,1566955.1
"2967","EE",2000-07-01,1362.6
"2968","EL",2000-07-01,33495.2
"2969","ES",2000-07-01,144169
"2970","EU15",2000-07-01,2045747.3
"2971","EU27_2019",2000-07-01,1752341.4
"2972","EU28",2000-07-01,2152786.2
"2973","FI",2000-07-01,29721
"2974","FR",2000-07-01,324800
"2975","HR",2000-07-01,5291.8
"2976","HU",2000-07-01,11296.7
"2977","IE",2000-07-01,23958
"2978","IT",2000-07-01,269043.7
"2979","LT",2000-07-01,2915.4
"2980","LU",2000-07-01,5083.4
"2981","LV",2000-07-01,1999.7
"2982","MK",2000-07-01,866.9
"2983","MT",2000-07-01,1033.8
"2984","NL",2000-07-01,100158
"2985","NO",2000-07-01,41223.7
"2986","PL",2000-07-01,41391.1
"2987","PT",2000-07-01,28061.6
"2988","RO",2000-07-01,10107.3
"2989","SE",2000-07-01,60344
"2990","SI",2000-07-01,4825.5
"2991","SK",2000-07-01,5172.3
"2992","TR",2000-07-01,73880.3
"2993","UK",2000-07-01,400530.7
"2994","AT",2000-04-01,47483.2
"2995","BE",2000-04-01,58132
"2996","BG",2000-04-01,2854.1
"2997","CH",2000-04-01,69670.1
"2998","CY",2000-04-01,2522.2
"2999","CZ",2000-04-01,14986.2
"3000","DE",2000-04-01,470274
"3001","DK",2000-04-01,38074.5
"3002","EA",2000-04-01,1518429.1
"3003","EA12",2000-04-01,1549351.2
"3004","EA19",2000-04-01,1568922.8
"3005","EE",2000-04-01,1417.2
"3006","EL",2000-04-01,30903.1
"3007","ES",2000-04-01,147107
"3008","EU15",2000-04-01,2046848.3
"3009","EU27_2019",2000-04-01,1753009.5
"3010","EU28",2000-04-01,2147249.4
"3011","FI",2000-04-01,29617
"3012","FR",2000-04-01,331072
"3013","HR",2000-04-01,4793.5
"3014","HU",2000-04-01,10769.5
"3015","IE",2000-04-01,24204.3
"3016","IT",2000-04-01,276326.8
"3017","LT",2000-04-01,2781.8
"3018","LU",2000-04-01,5081.5
"3019","LV",2000-04-01,1936.3
"3020","MK",2000-04-01,879.1
"3021","MT",2000-04-01,987.5
"3022","NL",2000-04-01,101161
"3023","NO",2000-04-01,38225.5
"3024","PL",2000-04-01,38829.2
"3025","PT",2000-04-01,28046
"3026","RO",2000-04-01,8558.7
"3027","SE",2000-04-01,65192.1
"3028","SI",2000-04-01,4852.4
"3029","SK",2000-04-01,5089.7
"3030","TR",2000-04-01,63647.8
"3031","UK",2000-04-01,394350.8
"3032","AT",2000-01-01,44938.2
"3033","BE",2000-01-01,55743
"3034","BG",2000-01-01,2512.8
"3035","CH",2000-01-01,66778.7
"3036","CY",2000-01-01,2310.5
"3037","CZ",2000-01-01,13716
"3038","DE",2000-01-01,463895
"3039","DK",2000-01-01,36570.9
"3040","EA",2000-01-01,1469675.4
"3041","EA12",2000-01-01,1498951
"3042","EA19",2000-01-01,1516443.6
"3043","EE",2000-01-01,1250.8
"3044","EL",2000-01-01,29258
"3045","ES",2000-01-01,136800
"3046","EU15",2000-01-01,1988830.4
"3047","EU27_2019",2000-01-01,1687025.3
"3048","EU28",2000-01-01,2080875.3
"3049","FI",2000-01-01,27779
"3050","FR",2000-01-01,326889
"3051","HR",2000-01-01,4438.6
"3052","HU",2000-01-01,9789.1
"3053","IE",2000-01-01,22768.4
"3054","IT",2000-01-01,260695.9
"3055","LT",2000-01-01,2350.3
"3056","LU",2000-01-01,5054.6
"3057","LV",2000-01-01,1649.7
"3058","MK",2000-01-01,796.2
"3059","MT",2000-01-01,877.8
"3060","NL",2000-01-01,98577
"3061","NO",2000-01-01,39846.6
"3062","PL",2000-01-01,36746.2
"3063","PT",2000-01-01,26837.6
"3064","RO",2000-01-01,7060.1
"3065","SE",2000-01-01,59462
"3066","SI",2000-01-01,4498.7
"3067","SK",2000-01-01,4573.5
"3068","TR",2000-01-01,53349
"3069","UK",2000-01-01,393996
"3070","AT",1999-10-01,47578.8
"3071","BE",1999-10-01,57257
"3072","BG",1999-10-01,3279.2
"3073","CH",1999-10-01,67454.5
"3074","CY",1999-10-01,2389.2
"3075","CZ",1999-10-01,14978.1
"3076","DE",1999-10-01,485764
"3077","DK",1999-10-01,37787.5
"3078","EA",1999-10-01,1531383.5
"3079","EA12",1999-10-01,1565280.8
"3080","EA19",1999-10-01,1583224
"3081","EE",1999-10-01,1253.2
"3082","EL",1999-10-01,33883.1
"3083","ES",1999-10-01,144395
"3084","EU15",1999-10-01,2035210.3
"3085","EU27_2019",1999-10-01,1764692.7
"3086","EU28",1999-10-01,2136134.7
"3087","FI",1999-10-01,29552
"3088","FR",1999-10-01,323815
"3089","HU",1999-10-01,10868.4
"3090","IE",1999-10-01,21523.7
"3091","IT",1999-10-01,289347.1
"3092","LT",1999-10-01,2408.8
"3093","LU",1999-10-01,5075.2
"3094","LV",1999-10-01,1747.7
"3095","NL",1999-10-01,98876
"3096","NO",1999-10-01,37580.8
"3097","PL",1999-10-01,40455.2
"3098","PT",1999-10-01,27553.4
"3099","RO",1999-10-01,8878.6
"3100","SE",1999-10-01,60707.4
"3101","SI",1999-10-01,4850.5
"3102","SK",1999-10-01,4409.9
"3103","TR",1999-10-01,57543
"3104","UK",1999-10-01,371640.1
"3105","AT",1999-07-01,46068.7
"3106","BE",1999-07-01,53265
"3107","BG",1999-07-01,3215.8
"3108","CH",1999-07-01,65301.4
"3109","CY",1999-07-01,2368.2
"3110","CZ",1999-07-01,14315.3
"3111","DE",1999-07-01,473573
"3112","DK",1999-07-01,35193.2
"3113","EA",1999-07-01,1436231.9
"3114","EA12",1999-07-01,1468972.6
"3115","EA19",1999-07-01,1486434.4
"3116","EE",1999-07-01,1217.9
"3117","EL",1999-07-01,32729.3
"3118","ES",1999-07-01,132017
"3119","EU15",1999-07-01,1911293.8
"3120","EU27_2019",1999-07-01,1651672.3
"3121","EU28",1999-07-01,2004996.5
"3122","FI",1999-07-01,27382
"3123","FR",1999-07-01,306558
"3124","HU",1999-07-01,10054.3
"3125","IE",1999-07-01,20530.2
"3126","IT",1999-07-01,253603.8
"3127","LT",1999-07-01,2363.5
"3128","LU",1999-07-01,4626.8
"3129","LV",1999-07-01,1609
"3130","NL",1999-07-01,92216
"3131","NO",1999-07-01,33824.8
"3132","PL",1999-07-01,35246.1
"3133","PT",1999-07-01,25919.5
"3134","RO",1999-07-01,8407.6
"3135","SE",1999-07-01,53810.1
"3136","SI",1999-07-01,4558.2
"3137","SK",1999-07-01,4449.8
"3138","TR",1999-07-01,59833.5
"3139","UK",1999-07-01,353548.5
"3140","AT",1999-04-01,45117.1
"3141","BE",1999-04-01,54906
"3142","BG",1999-04-01,2491.3
"3143","CH",1999-04-01,64596.5
"3144","CY",1999-04-01,2263.4
